iter	Passed	Remaining
0	150	150265
1	151	75411
2	151	50399
3	152	37889
4	152	30412
5	153	25481
6	154	21894
7	154	19201
8	155	17108
9	155	15432
10	156	14060
11	156	12919
12	157	11951
13	157	11123
14	158	10405
15	158	9777
16	159	9241
17	160	8750
18	160	8307
19	161	7911
20	161	7551
21	162	7223
22	163	6926
23	163	6651
24	164	6401
25	164	6168
26	165	5952
27	165	5761
28	166	5575
29	167	5400
30	167	5236
31	168	5083
32	168	4939
33	169	4803
34	169	4675
35	170	4554
36	170	4439
37	171	4331
38	171	4229
39	172	4139
40	173	4046
41	173	3958
42	174	3873
43	174	3792
44	175	3715
45	175	3641
46	176	3570
47	176	3503
48	177	3438
49	177	3376
50	178	3321
51	179	3264
52	179	3208
53	180	3154
54	180	3103
55	181	3053
56	181	3004
57	182	2958
58	182	2913
59	183	2869
60	183	2827
61	184	2787
62	185	2751
63	185	2713
64	186	2676
65	186	2640
66	187	2605
67	187	2571
68	188	2538
69	188	2505
70	189	2474
71	189	2444
72	190	2416
73	191	2391
74	191	2364
75	192	2337
76	192	2310
77	193	2284
78	193	2258
79	194	2234
80	194	2209
81	195	2186
82	195	2160
83	196	2138
84	196	2116
85	197	2097
86	197	2077
87	198	2056
88	199	2037
89	199	2017
90	200	1998
91	200	1979
92	201	1960
93	201	1942
94	202	1924
95	202	1907
96	203	1891
97	203	1876
98	204	1860
99	204	1844
100	205	1828
101	205	1813
102	206	1798
103	206	1783
104	207	1768
105	207	1754
106	208	1740
107	209	1726
108	209	1713
109	210	1701
110	210	1689
111	211	1676
112	211	1663
113	212	1651
114	212	1638
115	213	1626
116	213	1614
117	214	1602
118	214	1590
119	215	1579
120	216	1570
121	216	1558
122	217	1548
123	217	1537
124	218	1527
125	218	1517
126	219	1506
127	219	1496
128	220	1486
129	220	1476
130	221	1467
131	221	1457
132	222	1450
133	223	1441
134	223	1432
135	224	1423
136	224	1415
137	225	1406
138	225	1397
139	226	1389
140	226	1380
141	226	1371
142	227	1363
143	228	1355
144	228	1348
145	229	1341
146	229	1333
147	230	1326
148	230	1318
149	231	1311
150	231	1304
151	232	1297
152	233	1290
153	233	1283
154	234	1277
155	234	1270
156	235	1264
157	236	1258
158	236	1252
159	237	1245
160	237	1238
161	238	1231
162	238	1225
163	239	1218
164	239	1212
165	240	1206
166	240	1200
167	241	1195
168	242	1189
169	242	1184
170	243	1178
171	243	1172
172	244	1167
173	244	1161
174	245	1155
175	245	1150
176	246	1144
177	246	1140
178	247	1136
179	248	1130
180	248	1125
181	249	1120
182	249	1114
183	250	1109
184	250	1104
185	251	1099
186	251	1094
187	252	1089
188	252	1084
189	253	1080
190	254	1076
191	254	1071
192	255	1066
193	255	1061
194	256	1057
195	256	1052
196	257	1048
197	257	1043
198	258	1039
199	258	1034
200	259	1030
201	259	1026
202	260	1022
203	260	1018
204	261	1013
205	261	1009
206	262	1005
207	262	1001
208	263	997
209	264	993
210	264	989
211	265	985
212	265	981
213	266	978
214	266	974
215	267	970
216	267	966
217	268	962
218	268	958
219	269	955
220	269	951
221	270	947
222	270	943
223	271	940
224	271	936
225	272	933
226	273	930
227	273	926
228	274	923
229	274	919
230	275	916
231	275	913
232	276	909
233	276	906
234	277	902
235	277	899
236	278	896
237	279	893
238	279	890
239	280	886
240	280	883
241	281	880
242	281	877
243	282	873
244	282	870
245	283	867
246	283	864
247	284	861
248	284	858
249	285	855
250	285	852
251	286	849
252	286	846
253	287	843
254	287	840
255	288	837
256	288	835
257	289	832
258	289	829
259	290	827
260	291	824
261	291	821
262	292	819
263	292	816
264	293	813
265	293	810
266	294	808
267	294	805
268	295	802
269	295	799
270	296	797
271	297	795
272	297	792
273	298	790
274	298	787
275	299	785
276	299	782
277	300	779
278	300	777
279	301	774
280	301	772
281	302	769
282	302	767
283	303	765
284	304	762
285	304	760
286	305	758
287	305	755
288	306	753
289	306	750
290	307	748
291	307	746
292	308	743
293	308	741
294	309	739
295	309	737
296	310	734
297	311	732
298	311	730
299	312	728
300	312	725
301	313	723
302	313	721
303	314	719
304	314	716
305	315	714
306	315	713
307	316	711
308	317	709
309	317	706
310	318	704
311	318	702
312	319	700
313	319	698
314	320	696
315	320	693
316	321	691
317	321	689
318	322	688
319	322	686
320	323	684
321	324	682
322	324	680
323	325	678
324	325	676
325	326	674
326	326	672
327	327	670
328	327	668
329	328	667
330	330	667
331	330	665
332	331	663
333	331	661
334	332	659
335	332	657
336	333	655
337	333	653
338	334	651
339	335	650
340	335	649
341	336	647
342	336	645
343	337	643
344	337	641
345	338	639
346	338	637
347	339	636
348	339	634
349	340	632
350	341	630
351	341	629
352	342	627
353	342	625
354	343	623
355	343	621
356	344	620
357	344	618
358	345	616
359	345	614
360	346	613
361	347	611
362	347	610
363	348	608
364	348	606
365	349	605
366	349	603
367	350	601
368	350	600
369	351	598
370	351	596
371	352	594
372	353	593
373	353	591
374	354	590
375	354	588
376	355	586
377	355	585
378	356	583
379	356	582
380	357	580
381	357	578
382	358	577
383	358	575
384	359	574
385	360	572
386	360	571
387	361	569
388	361	567
389	362	566
390	362	564
391	363	563
392	363	561
393	364	560
394	364	558
395	365	556
396	365	555
397	366	554
398	367	552
399	367	551
400	368	549
401	368	548
402	369	546
403	369	545
404	370	543
405	370	542
406	371	540
407	371	539
408	372	538
409	373	537
410	374	536
411	375	535
412	375	533
413	376	532
414	376	531
415	377	529
416	377	528
417	378	527
418	379	526
419	380	525
420	380	523
421	381	522
422	381	520
423	382	519
424	382	517
425	383	516
426	384	515
427	385	514
428	385	513
429	386	512
430	386	510
431	387	509
432	387	507
433	388	506
434	388	505
435	389	503
436	389	502
437	390	500
438	391	499
439	391	498
440	392	497
441	392	495
442	393	494
443	393	492
444	394	491
445	394	490
446	395	488
447	395	487
448	396	486
449	396	484
450	397	483
451	397	482
452	398	481
453	398	479
454	399	478
455	400	477
456	400	475
457	401	474
458	401	473
459	402	472
460	402	470
461	403	469
462	403	468
463	404	467
464	404	465
465	405	464
466	406	463
467	406	462
468	407	461
469	407	459
470	408	458
471	408	457
472	409	456
473	410	455
474	410	453
475	411	452
476	411	451
477	412	450
478	412	449
479	413	447
480	414	446
481	414	445
482	415	444
483	415	443
484	416	442
485	417	441
486	418	440
487	418	439
488	419	437
489	419	436
490	420	435
491	420	434
492	421	433
493	421	432
494	422	431
495	423	430
496	423	429
497	424	427
498	424	426
499	425	425
500	425	424
501	426	423
502	427	421
503	427	420
504	428	419
505	429	418
506	429	417
507	430	416
508	430	415
509	431	414
510	431	413
511	432	411
512	432	410
513	433	409
514	433	408
515	434	407
516	435	406
517	435	405
518	436	404
519	436	403
520	437	402
521	438	401
522	438	400
523	439	398
524	439	397
525	440	396
526	440	395
527	441	394
528	442	393
529	442	392
530	443	391
531	444	390
532	444	389
533	445	388
534	445	387
535	446	386
536	447	385
537	448	385
538	450	385
539	450	384
540	451	383
541	452	381
542	452	380
543	453	379
544	453	378
545	454	377
546	455	377
547	456	376
548	456	375
549	457	374
550	458	373
551	458	372
552	459	371
553	460	370
554	461	369
555	462	369
556	462	368
557	463	366
558	463	365
559	464	364
560	465	364
561	466	363
562	467	362
563	467	361
564	468	360
565	468	359
566	469	358
567	469	357
568	470	356
569	471	355
570	471	354
571	472	353
572	474	353
573	475	352
574	475	351
575	476	350
576	476	349
577	477	348
578	478	347
579	479	347
580	480	346
581	480	345
582	481	344
583	481	343
584	482	342
585	483	341
586	483	340
587	484	339
588	485	338
589	486	338
590	486	336
591	487	335
592	487	334
593	488	333
594	488	332
595	489	331
596	490	330
597	490	330
598	491	329
599	491	327
600	492	327
601	493	326
602	493	325
603	494	324
604	494	323
605	495	322
606	496	321
607	496	320
608	497	319
609	498	318
610	498	317
611	499	316
612	500	315
613	500	314
614	501	313
615	501	312
616	502	312
617	504	311
618	505	311
619	506	310
620	507	309
621	507	308
622	509	308
623	510	307
624	511	306
625	512	305
626	512	305
627	513	304
628	513	303
629	514	302
630	516	301
631	517	301
632	517	300
633	518	299
634	518	298
635	519	297
636	520	296
637	520	295
638	521	294
639	522	293
640	522	292
641	523	291
642	524	290
643	524	290
644	525	289
645	526	288
646	526	287
647	527	286
648	528	286
649	529	285
650	530	284
651	531	283
652	531	282
653	534	282
654	534	281
655	535	280
656	536	280
657	537	279
658	538	278
659	538	277
660	540	277
661	541	276
662	542	275
663	543	274
664	544	274
665	545	273
666	546	272
667	547	272
668	548	271
669	548	270
670	549	269
671	550	268
672	550	267
673	551	266
674	552	266
675	554	265
676	555	264
677	555	264
678	556	263
679	557	262
680	558	261
681	559	261
682	560	260
683	561	259
684	562	258
685	562	257
686	563	256
687	564	256
688	565	255
689	566	254
690	566	253
691	567	252
692	567	251
693	568	250
694	568	249
695	569	248
696	570	247
697	571	247
698	571	246
699	572	245
700	572	244
701	573	243
702	573	242
703	574	241
704	574	240
705	575	239
706	575	238
707	576	237
708	577	236
709	577	236
710	578	235
711	578	234
712	579	233
713	579	232
714	580	231
715	580	230
716	581	229
717	582	228
718	582	227
719	583	226
720	583	225
721	584	225
722	584	224
723	585	223
724	585	222
725	586	221
726	586	220
727	587	219
728	588	218
729	588	217
730	589	216
731	590	216
732	590	215
733	591	214
734	591	213
735	592	212
736	592	211
737	593	210
738	593	209
739	594	208
740	595	208
741	596	207
742	596	206
743	597	205
744	597	204
745	598	203
746	598	202
747	599	201
748	599	200
749	600	200
750	601	199
751	602	198
752	602	197
753	603	196
754	603	195
755	604	195
756	604	194
757	605	193
758	605	192
759	606	191
760	607	190
761	607	189
762	608	189
763	609	188
764	609	187
765	610	186
766	610	185
767	611	184
768	611	183
769	612	182
770	613	182
771	613	181
772	614	180
773	615	179
774	615	178
775	616	177
776	616	177
777	617	176
778	617	175
779	618	174
780	618	173
781	619	172
782	620	172
783	621	171
784	621	170
785	622	169
786	623	168
787	623	167
788	624	166
789	624	166
790	625	165
791	625	164
792	626	163
793	627	162
794	627	161
795	628	161
796	629	160
797	629	159
798	630	158
799	630	157
800	631	156
801	631	156
802	632	155
803	633	154
804	634	153
805	634	152
806	635	151
807	635	151
808	636	150
809	636	149
810	637	148
811	637	147
812	638	146
813	639	146
814	640	145
815	640	144
816	641	143
817	641	142
818	642	141
819	642	141
820	643	140
821	644	139
822	645	138
823	646	138
824	647	137
825	647	136
826	648	135
827	648	134
828	649	133
829	649	133
830	650	132
831	651	131
832	652	130
833	652	129
834	653	129
835	653	128
836	654	127
837	654	126
838	655	125
839	655	124
840	656	124
841	657	123
842	657	122
843	658	121
844	658	120
845	659	120
846	659	119
847	660	118
848	660	117
849	661	116
850	661	115
851	662	115
852	663	114
853	663	113
854	664	112
855	665	111
856	665	111
857	666	110
858	666	109
859	667	108
860	667	107
861	668	106
862	668	106
863	672	105
864	673	105
865	673	104
866	674	103
867	674	102
868	675	101
869	675	100
870	676	100
871	677	99
872	677	98
873	678	97
874	678	96
875	679	96
876	679	95
877	680	94
878	680	93
879	681	92
880	681	92
881	682	91
882	683	90
883	683	89
884	684	88
885	684	88
886	685	87
887	685	86
888	686	85
889	686	84
890	687	84
891	687	83
892	688	82
893	688	81
894	689	80
895	689	80
896	690	79
897	690	78
898	691	77
899	691	76
900	692	76
901	693	75
902	693	74
903	694	73
904	694	72
905	695	72
906	696	71
907	696	70
908	697	69
909	697	68
910	698	68
911	698	67
912	699	66
913	699	65
914	700	65
915	700	64
916	701	63
917	702	62
918	702	61
919	703	61
920	703	60
921	704	59
922	704	58
923	705	58
924	706	57
925	706	56
926	707	55
927	707	54
928	708	54
929	709	53
930	709	52
931	710	51
932	710	51
933	711	50
934	711	49
935	712	48
936	712	47
937	713	47
938	714	46
939	714	45
940	715	44
941	715	44
942	716	43
943	716	42
944	717	41
945	717	40
946	718	40
947	718	39
948	719	38
949	720	37
950	720	37
951	721	36
952	721	35
953	722	34
954	722	34
955	723	33
956	723	32
957	724	31
958	724	30
959	725	30
960	725	29
961	726	28
962	727	27
963	727	27
964	728	26
965	729	25
966	729	24
967	730	24
968	730	23
969	731	22
970	731	21
971	732	21
972	733	20
973	733	19
974	734	18
975	734	18
976	735	17
977	735	16
978	736	15
979	736	15
980	737	14
981	737	13
982	738	12
983	739	12
984	739	11
985	740	10
986	740	9
987	741	9
988	742	8
989	742	7
990	743	6
991	744	6
992	745	5
993	746	4
994	746	3
995	747	3
996	747	2
997	748	1
998	748	0
999	749	0
